ID,type,content,type,comment
106,ASP.NET,5.4.1 创建组件,Done,要设置App_Code
107,ASP.NET,5.4.2 App_Code目录使用组件,Done,可以用咯
108,ASP.NET,5.4.3 通过Bin目录使用组件,Done,这个常用不做实验
109,ASP.NET,5.5 扩展HTTP管道,Review,现在用得不多
110,ASP.NET,5.5.1 HTTP处理程序,Review,现在略
111,ASP.NET,5.5.2 创建自定义的HTTP处理程序,Review,现在略
112,ASP.NET,5.5.3 配置自定义的HTTP处理程序,Review,比如执行*.simple文件
113,ASP.NET,5.5.4 使用无须配置的HTTP处理程序,Review,*.ashx
114,ASP.NET,5.5.5 创建高级的HTTP处理程序,Todo,
115,ASP.NET,5.5.6 为非HTML内容创建HTTP处理程序,Todo,防盗链
116,ASP.NET,5.5.7 HTTP模块,Done,不太懂
117,ASP.NET,5.5.8 创建自定义HTTP模块,Done,要实验
118,ASP.NET,5.6 总结,Done,
119,ASP.NET,6 状态管理,Done,
120,ASP.NET,6.1 ASP.NET状态管理,Review,此前接触的少
121,ASP.NET,6.2 视图状态,Done,未透彻了解
122,ASP.NET,6.2.1 视图状态示例,Todo,"未透彻了解, 实现例子"
123,ASP.NET,6.2.2 在视图状态中保存对象,Done,
124,ASP.NET,6.2.3 视图状态评估,Done,
125,ASP.NET,6.2.4 有选择地禁用视图状态,Done,
126,ASP.NET,6.2.4 有选择地禁用视图状态,Done,设成false，还是有!
127,ASP.NET,6.2.5 视图状态安全,Done,怎么不要这玩意?
128,ASP.NET,6.3 在页面间传送信息,Done,
129,ASP.NET,6.3.1 查询字符串,Done,
130,ASP.NET,6.3.2 跨页回发,Review,需多多Review
131,ASP.NET,6.4 cookie,Done,要做几个实验
132,ASP.NET,6.5 会话状态,Done,
132,ASP.NET,6.5.1 会话架构,Done,
133,ASP.NET,6.5.2 使用会话状态,Done,有些晦涩
134,ASP.NET,6.5.3 配置会话状态,Done,有些晦涩
135,ASP.NET,6.5.4 会话状态安全,Done,是否只有些设置?
136,ASP.NET,6.6 应用程序状态,Review,完全没看懂
137,ASP.NET,6.7 总结,Done,
138,ASP.NET,第2部分,Done,
139,ASP.NET,7 ADO.NET基础,Done,备注比原文有趣
140,ASP.NET,7.1 ADO.NET的架构,Done,
141,ASP.NET,7.1.1 ADO.NET数据提供程序,Done,"连接,命令,只读,Adapter"
142,ASP.NET,7.1.2 ADO.NET的标准化,Done,
143,ASP.NET,7.1.3 基本ADO.NET类,Done,
144,ASP.NET,7.2 Connection类,Done,
145,ASP.NET,7.2.1 连接字符串,Todo,
146,ASP.NET,7.2.2 测试连接,Todo,有两个例子
147,ASP.NET,7.2.3 连接池,Review,理解不深刻
148,ASP.NET,7.3 Command类和DataReader类,Done,
149,ASP.NET,7.3.1 Command基础,Done,
150,ASP.NET,7.3.2 DataReader类,Todo,流水游标
151,ASP.NET,7.3.3 ExecuteReader()方法和DataReader,Todo,
